COD_ASL,COD_STRUTTURA ,DENOM_STRUTTURA,INDIRIZZO_UBICAZIONE,COD_ISTAT_COMUNE_UBICAZIONE,COMUNE_UBICAZIONE,CAP,PROV_COMUNE_UBICAZIONE,TOT_POSTI_AUTORIZZATI,TOT_POSTI_ORDINARI_ACCREDITATI,TOT_POSTI_ALZHEIMER_ACCREDITATI,TOT_POSTI_ACCREDITATI,DENOM_GESTORE,P_IVA,INDIRIZZO_SEDE_LEGALE,COD_ISTAT_COMUNE_SEDE_LEGALE,COMUNE_SEDE_LEGALE,PROV_SEDE_LEGALE,NATURA_GIURIDICA,PUBBLICA/PRIVATA,ONLUS,WGS84_X,WGS84_Y,location,Limiti amministrativi 2014 delle province di Regione Lombardia,Limiti amministrativi 2015 delle province di Regione Lombardia,ATS Regione Lombardia,Comuni 2015 Polygon Semplificato Qgis
326,001516,RSA -  CASA DI RIPOSO SAN GIUSEPPE,VIA MILANO  69,017029,BRESCIA,25100,BS,41,41,0,41,ISTITUTO DELLE FIGLIE DI S. CAMILLO,01588540581,VIA ACQUA BULLICANTE 4,058091,ROMA,RM,ENTE MORALE DI DIRITTO PRIVATO,PRIVATO,SI,10.19148527,45.5458947,"(45.5458947, 10.19148527)",6,6,2,812
328,002126,S. RICCARDO PAMPURI,VIA SESIA  23,018163,TRIVOLZIO,27020,PV,114,114,0,114,KCS LIVE COOPERATIVA SOCIALE,03738310162,ROTONDA DEI MILLE 1,016024,BERGAMO,BG,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATO,SI,9.04884823,45.26232962,"(45.26232962, 9.04884823)",7,7,6,1243
321,000014,PICCOLA CASA DELLA DIVINA PROVVIDENZA - COTTOLENGO,VIA COTTOLENGO  1,015072,CERRO MAGGIORE,20023,MI,120,80,40,120,PICCOLA CASA DIVINA PROVVIDENZA COTTOLENGO,01538340017,VIA COTTOLENGO 14,001272,TORINO,TO,ENTE MORALE DI DIRITTO PRIVATO,PRIVATO,NO,8.94090647,45.59289625,"(45.59289625, 8.94090647)",4,4,8,46
325,001257,FONDAZIONE CASA SERENA - LEFFE O.N.L.U.S.,VIA PEZZOLI D'ALBERTONI  65,016124,LEFFE,24026,BG,105,103,0,103,FONDAZIONE CASA SERENA - LEFFE O.N.L.U.S.,03114570165,VIA PEZZOLI D'ALBERTONI 65,016124,LEFFE,BG,FONDAZIONE,PRIVATO,SI,9.88834613,45.80078449,"(45.80078449, 9.88834613)",5,5,1,569
326,001592,FONDAZIONE POMPEO E CESARE MAZZOCCHI ONLUS,VIA CARERA  28,017056,COCCAGLIO,25030,BS,86,70,0,70,FONDAZIONE POMPEO E CESARE MAZZOCCHI ONLUS,00724370986,VIA VITTORIO EMANUELE II 26,017056,COCCAGLIO,BS,FONDAZIONE,PRIVATO,SI,9.98259136,45.56207957,"(45.56207957, 9.98259136)",6,6,2,1321
322,002833,SANTA MARIA DELLA PACE,VIA DELLA LIBERTÀ  3,013065,CERNOBBIO,22012,CO,50,40,0,40,PROVIDENTIA S.R.L.,02265320131,VIA BENEDETTO DA FOIANO 14,048017,FIRENZE,FI,SOCIETA' A RESPONSABILITA' LIMITATA,PRIVATO,NO,9.07448613,45.8439548,"(45.8439548, 9.07448613)",2,2,3,199
321,000617,SAN ROCCO,VIA MONVISO  87,015205,SEGRATE,20090,MI,150,150,0,150,KOS CARE S.R.L.,01148190547,VIA DURINI 9,015146,MILANO,MI,SOCIETA' A RESPONSABILITA' LIMITATA,PRIVATO,NO,9.29625931,45.50412311,"(45.50412311, 9.29625931)",4,4,8,717
321,000570,CITTÀ DI BOLLATE GIOVANNI PAOLO II,VIA PIAVE  26,015027,BOLLATE,20021,MI,60,60,0,60,GAIA SERVIZI S.R.L.,05932530966,PIAZZA ALDO MORO 1,015027,BOLLATE,MI,SOCIETA' A RESPONSABILITA' LIMITATA CON UN UNICO SOCIO,PRIVATO,NO,9.11811952,45.54032576,"(45.54032576, 9.11811952)",4,4,8,164
321,003568,R.S.A. SAN GIORGIO,VIALE GANDOLFI 27/33,098019,CODOGNO,26845,LO,56,56,0,56,ASP BASSO LODIGIANO,90519590153,VIALE LUIGI GANDOLFI 27/33,098019,CODOGNO,LO,AZIENDA DI SERVIZI ALLA PERSONA (ASP),PUBBLICO,NO,9.7097995,45.1560897,"(45.1560897, 9.7097995)",11,11,8,1145
328,004860,ARCOBALENO PLUS,VIA FERRUCCIO BELLI  8,018041,CAVA MANARA,27051,PV,80,80,0,80,COOPERATIVA SOCIALE ARCOBALENO SOCIETA' PER AZIONI,01967560184,VIA FERRUCCIO BELLI 8,018041,CAVA MANARA,PV,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATO,SI,,,,,,,
321,000595,RSA FONDAZIONE ISTITUTO GERIATRICO LA PELUCCA,VIA CAMPANELLA 8/10,015209,SESTO SAN GIOVANNI,20099,MI,108,85,23,108,FONDAZIONE ISTITUTO GERIATRICO LA PELUCCA - ONLUS,00987080967,VIA TOMMASO CAMPANELLA 8-10,015209,SESTO SAN GIOVANNI,MI,FONDAZIONE,PRIVATO,SI,9.25839787,45.55268878,"(45.55268878, 9.25839787)",4,4,8,719
321,000390,RSA  LUIGI CORAZZA,VIA OSPEDALE  3,098035,MALEO,26847,LO,50,30,0,30,RESIDENZE ASSISTITE MALEO SRL,01237210198,VIA GARIBALDI 18/7,098035,MALEO,LO,SOCIETA' A RESPONSABILITA' LIMITATA,PRIVATO,NO,9.76327843,45.16456671,"(45.16456671, 9.76327843)",11,11,8,17
322,000696,FONDAZIONE GIOVENTÙ NOVA VILLA ROVERA MOLINA ONLUS,VIA LUNGA  57,012008,BARASSO,21020,VA,113,113,0,113,FONDAZIONE GIOVENTÙ NOVA VILLA ROVERA MOLINA ONLUS,80001710120,VIA LUNGA 57,012008,BARASSO,VA,FONDAZIONE,PRIVATO,SI,8.75388534,45.84444052,"(45.84444052, 8.75388534)",1,1,3,217
321,000319,RSA SAN MARCO,VIA ROMA  19,015134,MARCALLO CON CASONE,20010,MI,62,62,0,62,COOPERATIVA SOCIALE QUADRIFOGLIO S.C. ONLUS,03890320017,VIALE SAVORGNAN D'OSOPPO 4/10,001191,PINEROLO,TO,SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA,PRIVATO,NO,8.87131845,45.48473082,"(45.48473082, 8.87131845)",4,4,8,634
323,002930,SAN VINCENZO,VIA MAGLIO  29,013249,GRAVEDONA ED UNITI,22015,CO,51,51,0,51,CROCE DI MALTA SRL,03653930960,VIALE CASSALA 16,015146,MILANO,MI,SOCIETA' A RESPONSABILITA' LIMITATA CON UN UNICO SOCIO,PRIVATO,NO,9.30101835,46.14330485,"(46.14330485, 9.30101835)",2,2,7,322
301,301P10120,RESIDENZA SAN SISTO,VIA COLOGNOLA AI COLLI 6-8-10,016024,BERGAMO,24100,BG,,,,,RESIDENZE ANNI AZZURRI SRL,09736360158,VIA CIOVASSINO 1,015146,MILANO,MI,SOCIETÀ COOPERATIVA A RESPONSABILITÀ LIMITATA,PRIVATO,NO,,,,,,,
310,310008202,CASA DI RIPOSO COMUNALE,VIA CINQUE MARTIRI  1,015059,CASSANO D'ADDA,20062,MI,,,,,ISTITUZIONE BELVEDERE ORGANISMO STRUMENTALE DEL COMUNE DI CASSANO D'ADDA,03674570159,VIA 5 MARTIRI 1,015059,CASSANO D'ADDA,MI,ISTITUZIONE DI ENTE LOCALE,PUBBLICO,NO,9.5186458,45.52351153,"(45.52351153, 9.5186458)",4,4,8,40
301,301PR8602,CASA DI CURA VILLA SAN MAURO,VIA GAMBIRAGO,016171,PONTIDA,24030,BG,,,,,CASA DI CURA SAN GIUSEPPE SRL,01942290303,VIA GIOVANNI XXIII 3,016144,NEMBRO,BG,SOCIETÀ A RESPONSABILITÀ LIMITATA,PRIVATO,NO,9.47763226,45.73279035,"(45.73279035, 9.47763226)",5,5,1,375
309,309PR0106,ORCHIDEA,VIA MILANO  51,015243,VITTUONE,20010,MI,,,,,AV VITTUONE S.R.L.,05944080968,VIA CAMPERIO 14,015146,MILANO,MI,SOCIETÀ COOPERATIVA A RESPONSABILITÀ LIMITATA,PRIVATO,NO,8.94893935,45.48220576,"(45.48220576, 8.94893935)",4,4,8,733
314,314PR0649,SAN GIACOMO,VIA SILVIO PELLICO  3,012134,VEDANO OLONA,21040,VA,,,,,IL GABBIANO SOCIETA' COOPERATIVA SOCIALE ONLUS,00722770989,VIA ABATE CREMONESINI  6/8,017149,PONTEVICO,BS,SOCIETÀ COOPERATIVA DI SOLIDARIETÀ SOCIALE,PRIVATO,SI,,,,,,,
328,002182,RESIDENZA SANITARIA ASSISTENZIALE,VIA ACHILLI  1,018153,STRADELLA,27049,PV,92,92,0,92,BRONI STRADELLA PUBBLICA SRL,02419480187,VIA CAVOUR 28,018153,STRADELLA,PV,SOCIETA' A RESPONSABILITA' LIMITATA,PRIVATO,NO,9.28752484,45.07730841,"(45.07730841, 9.28752484)",7,7,6,1422
326,001537,FONDAZIONE BANDERA VEZZOLI ONLUS,VIA ROMA  38,017192,URAGO D'OGLIO,25030,BS,31,28,0,28,FONDAZIONE BANDERA -  VEZZOLI  ONLUS,82002990172,VIA ROMA 38,017192,URAGO D'OGLIO,BS,FONDAZIONE,PRIVATO,SI,9.86957594,45.51551839,"(45.51551839, 9.86957594)",6,6,2,1006
321,000457,FONDAZIONE N. MARIO LAMPUGNANI,VIA SEMPIONE  2,015154,NERVIANO,20014,MI,86,84,0,84,FONDAZIONE N. MARIO LAMPUGNANI,06807360158,VIA SEMPIONE 2,015154,NERVIANO,MI,FONDAZIONE,PRIVATO,NO,8.97715256,45.55780637,"(45.55780637, 8.97715256)",4,4,8,626
322,000711,RESIDENZA GENNARO ARIOLI,VIA AVVIA FRANCO BASSANI  13,012087,LAVENO MOMBELLO,21014,VA,51,51,0,51,CENTRO RESIDENZIALE PER ANZIANI MENOTTI BASSANI,01319900120,VIA AVV. FRANCO BASSANI 13,012087,LAVENO-MOMBELLO,VA,FONDAZIONE,PRIVATO,SI,,,,,,,
328,002037,SACRO CUORE,VIA CIRCONVALLAZIONE CANTÙ  16,018037,CASTEGGIO,27045,PV,24,22,0,22,COOPERATIVA SOCIALE LA MERIDIANA ONLUS A.R.L.,01787740180,VIA VOLTURNO 32/BIS,018182,VOGHERA,PV,SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA,PRIVATO,NO,9.12444071,45.01194938,"(45.01194938, 9.12444071)",7,7,6,1114
324,001116,ISTITUTI RIUNITI AIROLDI E MUZZI ONLUS,VIA AIROLDI E MUZZI  2,097042,LECCO,23900,LC,350,310,40,350,ISTITUTI RIUNITI AIROLDI E MUZZI - ONLUS,01844010130,VIA AIROLDI E MUZZI 2,097042,LECCO,LC,ENTE MORALE DI DIRITTO PRIVATO,PRIVATO,SI,9.41730316,45.85326847,"(45.85326847, 9.41730316)",10,10,5,1134
326,001472,FONDAZIONE ISTITUTO PIETRO CADEO ONLUS,VIALE CADEO  13,017052,CHIARI,25032,BS,150,121,24,145,ISTITUTO PIETRO CADEO ONLUS,00724380985,VIALE CADEO 13,017052,CHIARI,BS,FONDAZIONE,PRIVATO,SI,9.926505,45.53425744,"(45.53425744, 9.926505)",6,6,2,1320
325,001282,RSA PAPA GIOVANNI PAOLO I,VIA CESARE BATTISTI  3,016198,SERIATE,24068,BG,70,70,0,70,UNIVERSIIS SOCIETA' COOPERATIVA SOCIALE,01818390302,VIA CIVIDINA 41/A,030129,UDINE,UD,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATO,SI,9.7203462,45.68441158,"(45.68441158, 9.7203462)",5,5,1,464
328,004800,TORRE DELLA ROCCHETTA,VIA VIGALFO  20,018004,ALBUZZANO,27010,PV,66,66,0,66,TORRE DELLA ROCCHETTA,02398230181,PIAZZA TORRE DELLA ROCCHETTA 1,018004,ALBUZZANO,PV,SOCIETA' A RESPONSABILITA' LIMITATA,PRIVATO,NO,9.28195398,45.189639,"(45.189639, 9.28195398)",7,7,6,1014
321,000164,CASA OSPITALITÀ ANZIANI,VIA GARIBALDI  9,015181,RESCALDINA,20027,MI,67,67,0,67,FONDAZIONE OPERA PIA COLLEONI DE MAESTRI ONLUS,03690110154,VIA COLLEONI 5,015062,CASTANO PRIMO,MI,FONDAZIONE,PRIVATO,SI,8.95216868,45.61595787,"(45.61595787, 8.95216868)",4,4,8,699
323,000963,CENTRO SERVIZI ALLA PERSONA,VIA LUSARDI  2,014061,SONDRIO,23100,SO,60,60,0,60,FONDAZIONE ONLUS CASA DI RIPOSO CITTA' DI SONDRIO,00401580147,VIA DON GUANELLA 36,014061,SONDRIO,SO,FONDAZIONE,PRIVATO,SI,9.87617392,46.17299603,"(46.17299603, 9.87617392)",3,3,7,134
322,000875,FONDAZIONE RAIMONDI FRANCESCO,VIA VOLTA  1,012079,GORLA MINORE,21055,VA,35,31,0,31,FONDAZIONE RAIMONDI FRANCESCO,00576660120,VIA VOLTA 1,012079,GORLA MINORE,VA,FONDAZIONE,PRIVATO,NO,8.89884134,45.63650834,"(45.63650834, 8.89884134)",1,1,3,818
326,001610,RSA - PASOTTI COTTINELLI,VIA GRAZZINE  6,017029,BRESCIA,25100,BS,54,54,0,54,FONDAZIONE PASOTTI COTTINELLI ONLUS,98077830176,VIA DELLE GRAZZINE 6,017029,BRESCIA,BS,FONDAZIONE,PRIVATO,SI,10.22603035,45.55863151,"(45.55863151, 10.22603035)",6,6,2,812
321,000083,RSA  EMMAUS,VIA BARONI 71/73,015146,MILANO,20100,MI,128,120,0,120,EMMAUS ASSOCIAZIONE DI VOLONTARIATO SOCIETA' PER AZIONI,01457730032,VIA VERCELLI 23/A,002031,CARESANABLOT,VC,SOCIETA' PER AZIONI,PRIVATO,NO,9.17112336,45.40655184,"(45.40655184, 9.17112336)",4,4,8,623
323,000916,FONDAZIONE ONLUS CASA DI RIPOSO CITTA' DI SONDRIO,VIA DON GUANELLA  36,014061,SONDRIO,23100,SO,155,135,20,155,FONDAZIONE ONLUS CASA DI RIPOSO CITTA' DI SONDRIO,00401580147,VIA DON GUANELLA 36,014061,SONDRIO,SO,FONDAZIONE,PRIVATO,SI,9.86531255,46.16358506,"(46.16358506, 9.86531255)",3,3,7,134
322,000752,ISTITUTO CAVALIER FRANCESCO MENOTTI,VIA MENOTTI GARIBALDI  15,012027,CADEGLIANO VICONAGO,21031,VA,167,167,0,167,ISTITUTO CAVALIER FRANCESCO MENOTTI,01171300120,VIA MENOTTI GARIBALDI 15,012027,CADEGLIANO-VICONAGO,VA,ENTE MORALE DI DIRITTO PRIVATO,PRIVATO,NO,8.83670634,45.95694188,"(45.95694188, 8.83670634)",1,1,3,1160
322,002719,CARDUCCI,VIA MAZZINI  10,013114,GUANZATE,22070,CO,66,42,24,66,LA VILLA SRL,05849560486,VIA BENEDETTO DA FOIANO 14,048017,FIRENZE,FI,SOCIETA' A RESPONSABILITA' LIMITATA CON UN UNICO SOCIO,PRIVATO,NO,9.02271025,45.72610748,"(45.72610748, 9.02271025)",2,2,3,352
322,002751,SAN GIULIO,VIA RONCHETTO,013022,BEREGAZZO CON FIGLIARO,22070,CO,93,93,0,93,CROCE DI MALTA SRL,03653930960,VIALE CASSALA 16,015146,MILANO,MI,SOCIETA' A RESPONSABILITA' LIMITATA CON UN UNICO SOCIO,PRIVATO,NO,,,,,,,
327,001827,FONDAZIONE OSPEDALE CAIMI ONLUS,VIA MARTIRI DELLA LIBERTA'  10,019112,VAILATE,26019,CR,62,62,0,62,FONDAZIONE OSPEDALE CAIMI - ONLUS,00305030199,"VIA CAIMI, 21",019112,VAILATE,CR,FONDAZIONE,PRIVATO,SI,9.60994676,45.46392197,"(45.46392197, 9.60994676)",8,8,4,995
324,001190,R.S.A. OPERA PIA MAGISTRIS,VIA MANZONI  7,097083,VALMADRERA,23868,LC,63,63,0,63,COMUNE DI VALMADRERA,00609660139,VIA ROMA 31,097083,VALMADRERA,LC,COMUNE,PUBBLICO,NO,9.35739092,45.84774241,"(45.84774241, 9.35739092)",10,10,5,1182
321,000389,SANTA FRANCESCA CABRINI,VIA SANTA FRANCESCA CABRINI  11,098019,CODOGNO,26845,LO,60,60,0,60,SUORE MISSIONARIE DEL SACRO CUORE DI GESU',00858101009,VIA SICILIA 215,058091,ROMA,RM,ENTE RELIGIOSO,PRIVATO,NO,9.70258435,45.15879407,"(45.15879407, 9.70258435)",11,11,8,1145
325,001241,SAN PAOLO RESIDENZA SANITARIA ASSISTENZIALE,VIA TRENTO  1,016016,AZZANO SAN PAOLO,24052,BG,58,58,0,58,COOPERATIVA SOCIALE SOCIETA' DOLCE SOCIETA' COOPERATIVA,03772490375,VIA CRISTINA DA PIZZANO 5,037006,BOLOGNA,BO,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATO,SI,9.67477945,45.66313624,"(45.66313624, 9.67477945)",5,5,1,224
328,002036,CASA DI RIPOSO,VIA VITTORIO EMANUELE  1,018184,ZAVATTARELLO,27059,PV,37,37,0,37,COMUNE DI ZAVATTARELLO,01085010187,VIA VITTORIO EMANUELE 41,018184,ZAVATTARELLO,PV,COMUNE,PUBBLICO,NO,9.26403039,44.86652636,"(44.86652636, 9.26403039)",7,7,6,1512
328,002073,VILLA S. EULALIA,VIA DELLA LOMELLINA  9,018168,VALLE LOMELLINA,27020,PV,80,80,0,80,FONDAZIONE PIETRO ED EULALIA BARBIERI,01294860182,VIA AVANZA 8,018113,PIEVE DEL CAIRO,PV,FONDAZIONE,PRIVATO,NO,8.66688171,45.15029952,"(45.15029952, 8.66688171)",7,7,6,1437
321,000368,R.S.A. VIA QUARENGHI,VIA QUARENGHI  26,015146,MILANO,20100,MI,140,120,20,140,COOPERATIVA SOCIALE COOPSELIOS SOCIETÀ COOPERATIVA ONLUS,01164310359,VIA ANTONIO GRAMSCI 54/S,035033,REGGIO NELL'EMILIA,RE,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATO,SI,9.11557231,45.49632216,"(45.49632216, 9.11557231)",4,4,8,623
321,000536,RSA SANTA MARTA,VIA PARENZO  9,015146,MILANO,20100,MI,120,120,0,120,SEGESTA GESTIONI SRL,04140620966,VIALE CASSALA 16,015146,MILANO,MI,SOCIETA' A RESPONSABILITA' LIMITATA CON UN UNICO SOCIO,PRIVATO,NO,9.14021052,45.441924,"(45.441924, 9.14021052)",4,4,8,623
