Ticket number,Issue Date 1,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
1112104291,2016-01-01,2246,,,CA,201506,,,TR,WH,9019 AIRPORT BLVD C9,3L207,2,4000A1,NO EVIDENCE OF REG,50,,
4273097883,2016-01-06,1456,30,,CA,,,HYUN,PA,BK,657 LA JOLLA AVE N,00473,54,80.58L,PREFERENTIAL PARKING,68,6450178.4,1846116.1
4273719074,2016-01-06,1121,CB3828,,CA,,,HOND,PA,WT,801 SANTEE ST S,00662,56,88.03A,OUTSIDE LINES/METER,58,6485419.9,1837518.4
4273867113,2016-01-06,2309,36,,CA,201603,,MERZ,PA,BK,700 SYCAMORE AVE S,00402,54,80.58L,PREFERENTIAL PARKING,68,6457804.6,1845196.6
4274098861,2016-01-06,1303,,,CA,201604,,HYUN,PA,BL,20401 COHASSET ST,00337,53,80.69BS,NO PARK/STREET CLEAN,73,6387259.6,1898255.8
4274145466,2016-01-06,933,,,CA,201604,,TOYT,PA,GY,850 LACONIA BLVD,00568,55,80.69A+,STOP/STAND PROHIBIT,93,,
1107840344,2016-01-03,1125,,,NC,201009,,MITS,SU,RE,1600 S AMRACOST AVE,8A53,1,4000A1,NO EVIDENCE OF REG,50,,
4265111992,2016-01-07,1257,LP103,,CA,201605,,MERZ,PA,WT,4600 S CRENSHAW BL,533W,55,88.13B+,METER EXP.,63,,
4272789894,2016-01-07,1357,HO1059,,FL,201608,,NISS,PA,BN,7001 HAWTHORN AV,00485,54,88.13B+,METER EXP.,63,6458312.4,1859071.2
4273215413,2016-01-07,827,,,CA,201610,,TOYT,PA,WT,739 LA FAYETTE PARK PL N,00453,54,80.69BS,NO PARK/STREET CLEAN,73,6478863.9,1851091.3
4273653532,2016-01-07,1333,,,CA,,,AUDI,PA,GY,1201 CENTINELA AV,00908,51,80.69BS,NO PARK/STREET CLEAN,73,6419010.9,1837758.6
4274129064,2016-01-07,1755,WH500,,CA,,,MAZD,PA,GY,22000 VENTURA BL,01201,53,88.13B+,METER EXP.,63,6378380.4,1884249.5
4274234344,2016-01-07,1639,,,CA,201605,,TOYT,PA,SL,1317 11TH ST W,00642,56,5200,DISPLAY OF PLATES,25,6479506.8,1839216.7
4274240865,2016-01-07,1335,,,CA,201606,,HYUN,PA,BK,12302 EXPOSITION BLVD,00902,51,80.69BS,NO PARK/STREET CLEAN,73,6423888,1833997.2
4274290834,2016-01-07,921,,,CA,201604,,SMRT,PA,OR,1000 TREMAINE AVE,00145,51,80.69BS,NO PARK/STREET CLEAN,73,,
4274392356,2016-01-07,1129,WA721,,CA,201601,,GMC,PA,WT,601 CORONADO ST S,00462,54,88.13B+,METER EXP.,63,6476731.9,1845071.3
4275136703,2016-01-07,842,,,CA,201609,,VOLK,PA,BK,4500 TALOFA AVE,00355,53,80.69BS,NO PARK/STREET CLEAN,73,6455265.1,1877959
4273305820,2016-01-08,45,,,CA,201609,,FORD,PA,WT,1636 SCHRADER BOULEVARD,00402,54,80.69B,NO PARKING,73,6461015.2,1859097.4
4273701191,2016-01-08,1325,BW126,,CA,201608,,AUDI,PA,GY,11701 BARRINGTON CT S,00186,51,88.13B+,METER EXP.,63,6419450.1,1846183
4273895183,2016-01-08,937,,,CA,201502,,SUZI,PA,BK,4913 LA CALANDRIA WAY,00631,56,5204A-,DISPLAY OF TABS,25,,
4274005654,2016-01-08,1529,CB212,,CA,201605,,FORD,PA,WT,1300 GRAND AVE S,00671,56,88.53,OFF STR MTR/OUT LINE,58,6481597.3,1836635.9
4274174310,2016-01-08,1749,,,PA,201610,,VOLK,PA,BK,603 RAMPART BLVD S,00403,54,80.56E1,WHITE ZONE,58,6476448.1,1845199
4274412365,2016-01-08,832,,,CA,201603,,FORD,TK,GY,949 BIRCH ST S,00686,56,22500H,DOUBLE PARKING,68,6488286.8,1833735.9
4274631185,2016-01-08,1148,,,CA,201608,,FORD,PU,BK,806 YALE ST,00674,56,80.69BS,NO PARK/STREET CLEAN,73,6488750,1845502.9
4274685704,2016-01-08,2015,,,CA,201606,,TOYT,PA,BL,628 FICKETT ST N,00602,56,80.56E4+,RED ZONE,93,6499878.8,1840216.3
4274792745,2016-01-08,1239,,,CA,201608,,HOND,PA,GY,618 RAMPART BLVD S,00461,54,80.69BS,NO PARK/STREET CLEAN,73,6476347.3,1845014.7
4275092592,2016-01-08,1226,,,CA,201609,,TOYT,PA,GY,723 IMOGEN AVE,00453,54,80.69BS,NO PARK/STREET CLEAN,73,6475985.8,1852590.5
4275186075,2016-01-08,1023,,,CA,201611,,FORD,PU,WT,13456 HUSTON STREET,00361,53,80.69BS,NO PARK/STREET CLEAN,73,,
4273447146,2016-01-09,128,,,CA,201611,,CHRY,PA,WT,6607 HOLLYWOOD BLVD,403,54,80.69B,NO PARKING,73,6460697.3,1859515.8
4273751123,2016-01-10,2049,,,CA,201608,,TOYT,PA,GY,4867 SUNSET BLVD W,00403,54,80.56E1,WHITE ZONE,58,6472239,1858229
4274658706,2016-01-10,47,64,,CA,201608,,TOYT,PA,GY,6710 SELMA AVE,00400,54,80.58L,PREFERENTIAL PARKING,68,6459710.2,1858836.3
4274811203,2016-01-10,1140,,,CA,201606,,TOYT,PA,BL,2600 MANHATTAN PL,00541,55,80.61,STANDNG IN ALLEY,68,6467719.7,1834422.5
1109270190,2016-01-04,1250,,,CA,201512,,FORD,PA,BK,1750 N VINE,6A66,1,4000A1,NO EVIDENCE OF REG,50,,
4273293905,2016-01-11,1712,,,CA,201511,,HOND,PA,BK,500 LARCHMONT BL N,00477,54,5204A-,DISPLAY OF TABS,25,6463660.9,1851271.4
4273900864,2016-01-11,830,,,CA,11,,MNNI,PA,GY,141 SWEETZER AVE S,00474,54,80.69BS,NO PARK/STREET CLEAN,73,6449616.9,1849517.5
4274062251,2016-01-11,932,VN719,,CA,201611,,CHEV,VN,WT,6300 SYLMAR AV,00363,53,88.13B+,METER EXP.,63,6426621.8,1889881.6
4274065202,2016-01-11,1522,LM577A,,CA,201602,,JAGU,PA,BK,7264 W BEVERLY BL,00476,54,88.13B+,METER EXP.,63,,
4274146461,2016-01-11,647,,,CA,201603,,NISS,PA,BK,8800 ORION AVE,00310,53,80.56E1,WHITE ZONE,58,6418993.5,1906467.3
4274383256,2016-01-11,1429,,0032,CA,201608,,CHEV,TK,WT,975 NORTH GOWER STREET,00477,54,80.69C,PARKED OVER TIME LIM,58,6464091.1,1854739.1
4274587881,2016-01-11,1950,SV21,,CA,201604,,MAZD,PA,GY,1500 IVAR AV,00401,54,88.13B+,METER EXP.,63,6462120.7,1858205.4
4274707640,2016-01-11,2202,,,MB,201604,,CHEV,PU,GO,226 NEW HAMPSHIRE AVE N,00403,54,80.61,STANDNG IN ALLEY,68,6472952,1849796.8
4275280752,2016-01-11,845,,,CA,201611,,CHEV,PU,SL,11000 WOODLEY AVE,00334,53,80.69BS,NO PARK/STREET CLEAN,73,6415216,1920974.8
1109575806,2016-01-08,806,,,CA,201610,,FORD,PA,GY,1500 S MAGNOLIA AV,00535,55,8069BS,NO PARK/STREET CLEAN,73,,
1112719241,2016-01-09,1222,13,,CA,201603,,FORD,PA,GY,8320 W 1ST ST,00478,54,8058L,PREF PARKING,68,6449388.6,1849658.1
4270177365,2016-01-12,1252,WA1100,,CA,201611,,TOYT,PA,SL,600 BONNIE BRAE ST S,00641,56,88.13B+,METER EXP.,63,6479116.1,1843785.6
4272631370,2016-01-12,1151,,0930,CA,201604,,TOYT,PA,BK,6767 FOREST LAWN DR,00480,54,80.69C,PARKED OVER TIME LIM,58,6458942.8,1875073
4273090883,2016-01-12,2209,,,CA,201608,,TOYT,PA,GN,601 VERMONT AVE S,00500,55,80.69A+,STOP/STAND PROHIBIT,93,,
4273477051,2016-01-12,850,,,CA,201605,,MERZ,PA,MR,2125 88TH ST W,00552,55,80.69BS,NO PARK/STREET CLEAN,73,,
4274030946,2016-01-12,1714,,,CA,201610,,TOYT,PU,BK,11723 VENTURA BLVD,00300,53,80.71.4,PRIVATE PROPERTY,68,6444246.9,1874074.3
4274269484,2016-01-12,1023,,,CA,201611,,CHEV,PA,RD,2317E MICHIGAN AVE,00635,56,80.69BS,NO PARK/STREET CLEAN,73,,
4274877390,2016-01-12,1145,UC113,,CA,201612,,MERZ,PA,BL,3201 CAHUENGA BL,350R1,53,88.13B+,METER EXP.,63,6456591.6,1869312.7
4274880282,2016-01-12,1015,SG22,,CA,,,BMW,PA,GY,7501 SUNSET BL,00483,54,88.13B+,METER EXP.,63,6454848.3,1858242.1
4275143364,2016-01-12,1129,,0915,CA,201611,,MERZ,PA,SL,5416 MANTON AVE,00375,53,80.69C,PARKED OVER TIME LIM,58,6367841.1,1884504.2
4275253242,2016-01-12,1827,UC180,,NC,4,,MITS,PA,SL,3500 CAHUENGA BL,00309,53,88.13B+,METER EXP.,63,6453969.5,1870927.5
4273115781,2016-01-13,845,,,CA,201602,,TOYT,PA,BK,10503 TABOR ST,00153,51,80.69BS,NO PARK/STREET CLEAN,73,6437896.5,1831479.6
4273895555,2016-01-13,1015,,,CA,201602,,ACUR,PA,GY,2142 CUMMINGS ST,00631,56,80.69BS,NO PARK/STREET CLEAN,73,,
4274414664,2016-01-13,1010,,,NY,2,,NISS,PA,WT,1758 KINGSLEY DR N,00442,54,80.69BS,NO PARK/STREET CLEAN,73,6469787.8,1860097.1
4274958192,2016-01-13,914,,,CA,201608,,NISS,PA,GN,900 DETROIT ST N,00475,54,80.56E2,YELLOW ZONE,58,,
4275002336,2016-01-13,1028,,,CA,201510,,FORD,PU,SL,1503 BRIDGE STREET,00644,56,5204A-,DISPLAY OF TABS,25,,
4275017121,2016-01-13,822,WS528,,CA,201604,,TOYT,PA,SL,1801 PONTIUS AV,00153,51,88.13B+,METER EXP.,63,6427358.5,1839277.8
4275046414,2016-01-13,844,,,CA,201607,,DODG,PU,GY,14261 DYER ST,00341,53,80.69BS,NO PARK/STREET CLEAN,73,6427646.8,1933373.6
4272799941,2016-01-14,1135,,,CA,201603,,JEEP,PA,GN,1813 GLENDON AVE,00107,51,80.69BS,NO PARK/STREET CLEAN,73,6429769,1840775.6
4273194881,2016-01-13,2038,,,CA,201605,,FIAT,PA,GY,18719 MIRANDA ST,00316,53,22500E,BLOCKING DRIVEWAY,68,6397915.5,1886756.2
4274219946,2016-01-14,1352,53,,CA,201604,,PLYM,PA,RD,800 DETROIT ST N,00491,54,80.58L,PREFERENTIAL PARKING,68,6457157.1,1853589.7
4274299492,2016-01-14,1638,,,CA,201603,,TOYT,PA,WT,1801 PONTIUS AV,00111,51,5200,DISPLAY OF PLATES,25,6427358.5,1839277.8
4274489026,2016-01-14,1727,,,CA,201603,,TOYT,PA,SL,12123 VENTURA BOULEVARD,00300,53,22502A,18 IN. CURB/2 WAY,63,6442373.5,1875159.3
4274553872,2016-01-14,1135,ED428,,CA,201508,,AUDI,PA,GY,950 PICO BLVD E,00600,56,88.13B+,METER EXP.,63,6479837.1,1837608.5
4274717086,2016-01-14,930,,,CA,201609,,CHRY,PA,WT,1159 HIGHLAND AVE,00145,51,80.69BS,NO PARK/STREET CLEAN,73,6458355,1842320.2
4275006061,2016-01-14,1812,GA37A,,CA,201609,,CHEV,PA,UN,3133 GLENDALE BL,00603,56,88.13B+,METER EXP.,63,6482246.9,1864972.6
4275047000,2016-01-14,1224,,,CA,201606,,STRN,PA,RD,13172 BEAVER ST,00341,53,80.69BS,NO PARK/STREET CLEAN,73,,
4275196483,2016-01-14,1233,,,CA,201609,,TOYT,PA,GY,1810 51ST ST W,00541,55,80.69BS,NO PARK/STREET CLEAN,73,6467179.3,1821419
4275281264,2016-01-14,1007,,,CA,201609,,MITS,PA,WT,18404 VINCENNES ST,00338,53,80.69BS,NO PARK/STREET CLEAN,73,6400279.5,1910491.6
4275444515,2016-01-14,1816,,,CA,201603,,VOLK,PA,WT,1144 SOUTH HOPE STREET,00641,56,80.56E4+,RED ZONE,93,,
4274252356,2016-01-15,1028,,,CA,201610,,NISS,PA,WT,1241 NORTH WESTMORELAND AVENUE,00445,54,80.69BS,NO PARK/STREET CLEAN,73,,
4274401412,2016-01-15,1241,OS515,,CA,201612,,AUDI,PA,BK,12233 OLYMPIC BL W,00907,51,88.13B+,METER EXP.,63,6423672.9,1834365.5
4274414970,2016-01-15,1332,,,CA,201601,,TOYT,PA,GY,4600 FRANKLIN AVE N,00443,54,80.69BS,NO PARK/STREET CLEAN,73,,
4274427651,2016-01-15,1124,,,CA,3,,OTHR,CM,BN,235 SAN PEDRO ST S,00664,56,80.56E4+,RED ZONE,93,6488375.3,1840261.7
4274543195,2016-01-15,816,,,CA,201512,,CHEV,PA,GY,227 41ST PL W,00546,55,80.69BS,NO PARK/STREET CLEAN,73,6477786.8,1825480.8
4274615030,2016-01-15,1315,,,CA,201601,,FORD,PA,BK,734 VAN NESS AVE N,00485,54,22500E,BLOCKING DRIVEWAY,68,6466070.1,1853302.2
4274638605,2016-01-15,1419,,,CA,201608,,TOYT,PA,BK,409 WALL ST S,00667,56,5200,DISPLAY OF PLATES,25,6487508.3,1839295.4
4274643310,2016-01-15,1723,,,CA,201609,,CHEV,PA,WT,300 5TH ST,00171,56,80.69AP+,NO STOP/STANDING,93,6487208.9,1838813.9
4274691422,2016-01-14,1757,,,CA,201612,,PTRB,CM,WT,16708 CHATSWORTH ST,00309,53,80.69.2,COMM VEH OVER TIME L,133,6411831.4,1919092.6
4274753066,2016-01-15,1015,,,CA,201602,,HOND,PA,GY,1825 MIDVALE AVE,00153,51,80.69BS,NO PARK/STREET CLEAN,73,6429159.6,1840458.8
4274984173,2016-01-15,805,,,CA,201606,,TOYT,PA,BL,1104 MARIPOSA AVE N,00444,54,80.69BS,NO PARK/STREET CLEAN,73,6471014.6,1855603.8
4274984420,2016-01-15,1209,,,CA,201605,,LEXS,PA,WT,1404 KENMORE AVE N,00444,54,80.69BS,NO PARK/STREET CLEAN,73,6471685.5,1857748.2
4275270134,2016-01-15,1638,V112,,CA,201609,,TOYT,PA,BL,1400 MAIN ST,00901,51,88.13B+,METER EXP.,63,6418563.1,1818845.7
4274523702,2016-01-17,1946,,,CA,201512,,AUDI,PA,GY,6541 HOLLYWOOD BLVD,00401,54,80.69B,NO PARKING,73,6460990.2,1859517.2
4274719363,2016-01-17,854,,,CA,201605,,AUDI,PA,BK,601 DUNSMUIR AVE,00474,54,80.56E4+,RED ZONE,93,6456186.1,1846181.5
4274841653,2016-01-17,2120,36,,CA,201607,,RROV,PA,WT,730 CLOVERDALE AVE,00111,51,80.58L,PREFERENTIAL PARKING,68,6456757,1845019.6
4274926950,2016-01-17,627,,,CA,,,HOND,PA,PR,520 MIDVALE AVE S,107R,51,5204A-,DISPLAY OF TABS,25,6424619.7,1847375.8
4275158580,2016-01-17,1725,,,AZ,201610,,FIAT,PA,BK,6900 HAWTHORN AVENUE,00402,54,80.69AA+,NO STOP/STAND,93,6458719.5,1859071
4274260712,2016-01-18,1035,,,CA,,,OTHR,TK,WT,1127 WILSHIRE BLVD,00600,56,80.56E1,WHITE ZONE,58,6481775.6,1841598.1
4273341494,2016-01-19,1929,WH453,,IL,201610,,HYUN,PA,WT,22600 VENTURA BL,00309,53,88.13B+,METER EXP.,63,6374493,1883900.5
4273454802,2016-01-19,1908,,,CA,201506,,DODG,PA,RD,719 BROADWAY S,00601,56,5204A-,DISPLAY OF TABS,25,6489239.6,1844560.3
4273951953,2016-01-19,919,CB2573,,CA,201601,,NISS,PA,BL,700 WALL ST S,00662,56,88.13B+,METER EXP.,63,6486375.3,1837737.7
4274677326,2016-01-19,107,,,CA,201610,,HYUN,PA,BL,201 WITMER STREET,00602,56,80.56E4+,RED ZONE,93,6482459.8,1844667.6
4275089125,2016-01-19,1229,,,MT,,,LEXS,PA,WT,347 CLARENCE ST,00600,56,80.69BS,NO PARK/STREET CLEAN,73,6493556.8,1840803
4275124840,2016-01-19,1017,,,CA,201610,,BUIC,PA,BK,117 SUNSET AVE,00133,51,80.69BS,NO PARK/STREET CLEAN,73,6417058.1,1820548.4
4275206250,2016-01-19,820,,,CA,201603,,DODG,PU,GN,312 BELMONT AVE,645B,56,80.69BS,NO PARK/STREET CLEAN,73,,
4275257895,2016-01-19,2005,,,CA,201602,,TOYT,PA,WT,16500 ARCHWOOD ST,350R,53,80.69B,NO PARKING,73,6412769.2,1892954.4
4275678536,2016-01-19,1216,,,CA,201604,,KIA,PA,SL,10223 MONOGRAM AVE,00334,53,80.69BS,NO PARK/STREET CLEAN,73,,
1109574336,2016-01-14,1307,,,CA,201510,,TOYO,PA,GR,1430 W 53RD ST,00544,55,8069BS,NO PARK/STREET CLEAN,73,,
1113859250,2016-01-14,806,,,CA,201603,,MAZD,PA,RE,3510 CLARINGTON AV,00146,51,8069BS,NO PARK/STREET CLEAN,73,6439037.5,1832901.5
4273952255,2016-01-20,1058,,,CA,201509,,DODG,PA,SL,330 WALL ST S,00662,56,5204A-,DISPLAY OF TABS,25,6487672.7,1839631.6
4274351502,2016-01-20,1437,,,CA,201701,,TOYT,PA,GY,2310 GATES ST,00632,56,80.56E1,WHITE ZONE,58,6499140.4,1848708.4
4274393616,2016-01-20,2230,,,CA,201605,,PONT,PA,WT,1423 N IVAR AVE,00402,54,80.56E1,WHITE ZONE,58,6462120.7,1857690.9
4274401692,2016-01-20,842,,,CA,201610,,KIA,PA,SL,2521 WEST VIEW ST,00142,51,80.69BS,NO PARK/STREET CLEAN,73,6456191.6,1834608.8
4274619720,2016-01-20,1013,,,CA,201607,,TOYT,PA,TN,835 SOUTH LUCERNE BOULEVARD,00456,54,80.69BS,NO PARK/STREET CLEAN,73,6463112.4,1844159.4
4274817772,2016-01-20,1214,,,CA,201608,,NISS,PA,BK,1925 TALMADGE ST N,00448,54,80.69BS,NO PARK/STREET CLEAN,73,,
4275085640,2016-01-20,1629,VN1123,,CA,201605,,CHEV,PA,WT,14401 KITTRIDGE ST,00317,53,88.13B+,METER EXP.,63,6426630.3,1892072
4275126601,2016-01-20,1215,,,CA,201607,,NISS,PA,WT,1023 4TH AVE,00144,51,80.69BS,NO PARK/STREET CLEAN,73,,
4275146164,2016-01-20,1251,,,CA,201608,,TOYT,PA,WT,1121 S IROLO ST,539BH,55,80.69BS,NO PARK/STREET CLEAN,73,,
4275180895,2016-01-20,1710,,,CA,201606,,VOLK,PA,SL,655 GAYLEY AV,00111,51,80.56E4+,RED ZONE,93,,
4275197150,2016-01-20,756,,,CA,201608,,CHEV,PA,WT,5436 4TH AVE,00541,55,80.69BS,NO PARK/STREET CLEAN,73,,
4275197216,2016-01-20,819,,,CA,201608,,CHEV,PA,MR,4910 3RD AVE,00541,55,80.69BS,NO PARK/STREET CLEAN,73,,
4275412072,2016-01-20,1214,,,CA,,,HOND,PA,BK,3526 WINSLOW DR,00448,54,80.69BS,NO PARK/STREET CLEAN,73,,
4275480160,2016-01-20,1250,CB2206,,CA,201604,,DODG,VN,GY,831 SAN JULIAN ST S,00686,56,88.13B+,METER EXP.,63,6485894.2,1836672.7
4275752854,2016-01-20,1211,,,ME,201506,,TOYT,PA,TN,12536 BURBANK BLVD,00353,53,80.69BS,NO PARK/STREET CLEAN,73,6438859.6,1885272.9
4275872580,2016-01-20,1908,SO447,,CA,201610,,MERZ,PA,BK,14000 VENTURA BL,00309,53,88.13B+,METER EXP.,63,6429406.1,1876894.1
4275875240,2016-01-20,1401,,1111,CA,201610,,TOYT,PA,BL,400 MARIPOSA AVE S,00451,54,80.69C,PARKED OVER TIME LIM,58,6471049.3,1846973.9
1109339803,2016-01-07,1300,,,CA,201510,,NISS,PA,SI,MAHAR-OPP,25MQ3,1,4000A1,NO EVIDENCE OF REG,50,,
1109818743,2016-01-19,35,,,CA,201702,,GMC,PA,BK,5001 RODEO RD,,34,6344K2,NO PK BET 1-3AM,68,,
4270777906,2016-01-21,1446,NH75,,CA,,,HOND,PA,BK,5100 LANKERSHIM BL,00357,53,88.13B+,METER EXP.,63,6448688.3,1881901.7
4273287970,2016-01-21,2024,53,,NS,201705,,BMW,PA,BL,849 POINSETTIA PL,00401,54,80.58L,PREFERENTIAL PARKING,68,6456097,1853929.1
4273817962,2016-01-21,2152,,,CA,201607,,TOYT,PA,BK,1641 IVAR AVE,00402,54,80.69B,NO PARKING,73,6462322.4,1859127.2
